vgs,vds,ids,w
1.5,2,-0.000000960002,0.0000032
2,2,-0.00000216,0.0000032
2.5,2,-0.00000384,0.0000032
3,2,-0.00000576,0.0000032
1,2.5,-0.000000250003,0.0000032
1.5,2.5,-0.000001,0.0000032
2,2.5,-0.00000225,0.0000032
2.5,2.5,-0.000004,0.0000032
3,2.5,-0.00000625,0.0000032
1,3,-0.000000260003,0.0000032
1.5,3,-0.00000104,0.0000032
2,3,-0.00000234,0.0000032
2.5,3,-0.00000416,0.0000032
3,3,-0.0000065,0.0000032
1,1,-0.000000247501,0.0000036
1.5,1,-0.000000990001,0.0000036
2,1,-0.00000198,0.0000036
2.5,1,-0.00000297,0.0000036
3,1,-0.00000396,0.0000036
1,1.5,-0.000000258752,0.0000036
1.5,1.5,-0.000001035,0.0000036
2,1.5,-0.00000232875,0.0000036
2.5,1.5,-0.00000388125,0.0000036
3,1.5,-0.00000543375,0.0000036
1,2,-0.000000270002,0.0000036
1.5,2,-0.00000108,0.0000036
2,2,-0.00000243,0.0000036
2.5,2,-0.00000432,0.0000036
3,2,-0.00000648,0.0000036
1,2.5,-0.000000281253,0.0000036
1.5,2.5,-0.000001125,0.0000036
2,2.5,-0.00000253125,0.0000036
2.5,2.5,-0.0000045,0.0000036
3,2.5,-0.00000703125,0.0000036
1,3,-0.000000292503,0.0000036
1.5,3,-0.00000117,0.0000036
2,3,-0.0000026325,0.0000036
2.5,3,-0.00000468,0.0000036
3,3,-0.0000073125,0.0000036
1,1,-0.000000275001,0.000004
1.5,1,-0.0000011,0.000004
2,1,-0.0000022,0.000004
2.5,1,-0.0000033,0.000004
3,1,-0.0000044,0.000004
1,1.5,-0.000000287502,0.000004
1.5,1.5,-0.00000115,0.000004
2,1.5,-0.0000025875,0.000004
2.5,1.5,-0.0000043125,0.000004
3,1.5,-0.0000060375,0.000004
1,2,-0.000000300002,0.000004
1.5,2,-0.0000012,0.000004
2,2,-0.0000027,0.000004
2.5,2,-0.0000048,0.000004
3,2,-0.0000072,0.000004
1,2.5,-0.000000312503,0.000004
1.5,2.5,-0.00000125,0.000004
2,2.5,-0.0000028125,0.000004
2.5,2.5,-0.000005,0.000004
3,2.5,-0.0000078125,0.000004
1,3,-0.000000325003,0.000004
1.5,3,-0.0000013,0.000004
2,3,-0.000002925,0.000004
2.5,3,-0.0000052,0.000004
3,3,-0.000008125,0.000004
1,1,-0.000000330001,0.0000048
1.5,1,-0.00000132,0.0000048
2,1,-0.00000264,0.0000048
2.5,1,-0.00000396,0.0000048
3,1,-0.00000528,0.0000048
1,1.5,-0.000000345002,0.0000048
1.5,1.5,-0.00000138,0.0000048
2,1.5,-0.000003105,0.0000048
2.5,1.5,-0.000005175,0.0000048
3,1.5,-0.000007245,0.0000048
1,2,-0.000000360002,0.0000048
1.5,2,-0.00000144,0.0000048
2,2,-0.00000324,0.0000048
2.5,2,-0.00000576,0.0000048
3,2,-0.00000864,0.0000048
1,2.5,-0.000000375003,0.0000048
1.5,2.5,-0.0000015,0.0000048
2,2.5,-0.000003375,0.0000048
2.5,2.5,-0.000006,0.0000048
3,2.5,-0.000009375,0.0000048
1,3,-0.000000390003,0.0000048
1.5,3,-0.00000156,0.0000048
2,3,-0.00000351,0.0000048
2.5,3,-0.00000624,0.0000048
3,3,-0.00000975,0.0000048
1,1,-0.000000295626,0.0000043
1.5,1,-0.0000011825,0.0000043
2,1,-0.000002365,0.0000043
2.5,1,-0.0000035475,0.0000043
3,1,-0.00000473,0.0000043
1,1.5,-0.000000309064,0.0000043
1.5,1.5,-0.00000123625,0.0000043
